date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-04 | 2
2009-11-15 | 5
2019-05-15 | 1
2010-08-15 | 2
2017-12-20 | 4
2021-08-05 | 3
2015-06-17 | 2
2020-12-29 | 1
2008-12-31 | 10
2021-08-30 | 5
2011-09-13 | 4
2013-03-24 | 3
2014-11-08 | 2
2017-01-02 | 998
2017-12-11 | 15
2019-02-14 | 3.2
2020-03-15 | 5.3
2011-13-01 | 1
2011-02-30 | 1
2011-04-31 | 1
2011-00-01 | 1
2011-01-00 | 1
2011-01-32 | 1
2008-01-01 | 1
2025-01-01 | 1
2011-01-01 | -1
2011-01-01 | 1001
2011-01-01 | abc
2011-01-01 | 1.2.3
